HMDB ID	KEGG ID	reference acc.
HMDB0010042	C00626	HMDB0010042
HMDB10043	C00626	HMDB0010043
HMDB0010043	C00626	HMDB0010043
HMDB10044	C00626	HMDB0010044
HMDB0010044	C00626	HMDB0010044
HMDB10045	C00626	HMDB0010045
HMDB0010045	C00626	HMDB0010045
HMDB10046	C00626	HMDB0010046
HMDB0010046	C00626	HMDB0010046
HMDB10047	C00626	HMDB0010047
HMDB0010047	C00626	HMDB0010047
HMDB10048	C00626	HMDB0010048
HMDB0010048	C00626	HMDB0010048
HMDB10049	C00626	HMDB0010049
HMDB0010049	C00626	HMDB0010049
HMDB10050	C00626	HMDB0010050
HMDB0010050	C00626	HMDB0010050
HMDB10051	C00626	HMDB0010051
HMDB0010051	C00626	HMDB0010051
HMDB10052	C00626	HMDB0010052
HMDB0010052	C00626	HMDB0010052
HMDB10053	C00626	HMDB0010053
HMDB0010053	C00626	HMDB0010053
HMDB10054	C00626	HMDB0010054
HMDB0010054	C00626	HMDB0010054
HMDB10055	C00626	HMDB0010055
HMDB0010055	C00626	HMDB0010055
HMDB10056	C00626	HMDB0010056
HMDB0010056	C00626	HMDB0010056
HMDB10057	C00626	HMDB0010057
HMDB0010057	C00626	HMDB0010057
HMDB10058	C00626	HMDB0010058
HMDB0010058	C00626	HMDB0010058
HMDB10059	C00626	HMDB0010059
HMDB0010059	C00626	HMDB0010059
HMDB10060	C00626	HMDB0010060
HMDB0010060	C00626	HMDB0010060
HMDB10061	C00626	HMDB0010061
HMDB0010061	C00626	HMDB0010061
HMDB10062	C00626	HMDB0010062
HMDB0010062	C00626	HMDB0010062
HMDB10063	C00626	HMDB0010063
HMDB0010063	C00626	HMDB0010063
HMDB10064	C00626	HMDB0010064
HMDB0010064	C00626	HMDB0010064
HMDB10065	C00626	HMDB0010065
HMDB0010065	C00626	HMDB0010065
HMDB10066	C00626	HMDB0010066
HMDB0010066	C00626	HMDB0010066
HMDB10067	C00626	HMDB0010067
HMDB0010067	C00626	HMDB0010067
HMDB10068	C00626	HMDB0010068
HMDB0010068	C00626	HMDB0010068
HMDB10069	C00626	HMDB0010069
HMDB0010069	C00626	HMDB0010069
HMDB10070	C00626	HMDB0010070
HMDB0010070	C00626	HMDB0010070
HMDB10071	C00626	HMDB0010071
HMDB0010071	C00626	HMDB0010071
HMDB10072	C00626	HMDB0010072
HMDB0010072	C00626	HMDB0010072
HMDB10073	C00626	HMDB0010073
HMDB0010073	C00626	HMDB0010073
HMDB10074	C00626	HMDB0010074
HMDB0010074	C00626	HMDB0010074
HMDB10075	C00626	HMDB0010075
HMDB0010075	C00626	HMDB0010075
HMDB10076	C00626	HMDB0010076
HMDB0010076	C00626	HMDB0010076
HMDB10077	C00626	HMDB0010077
HMDB0010077	C00626	HMDB0010077
HMDB10078	C00626	HMDB0010078
HMDB0010078	C00626	HMDB0010078
HMDB10079	C00626	HMDB0010079
HMDB0010079	C00626	HMDB0010079
HMDB10080	C00626	HMDB0010080
HMDB0010080	C00626	HMDB0010080
