KEGG ID	MAPs
C00137	map00052
C00137	map00053
C00137	map00521
C00137	map00562
C00137	map01100
C00137	map01110
C00137	map01120
C00137	map02010
C00137	map04070
C01074	map05146
C04006	map00521
C04006	map00562
C04006	map01100
C04006	map01110
C04006	map04070
C00077	map00220
C00077	map00330
C00077	map00472
C00077	map00480
C00077	map00997
C00077	map01060
C00077	map01064
C00077	map01100
C00077	map01110
C00077	map01210
C00077	map01230
C00077	map02010
C00140	map00520
C00140	map01100
C00140	map02010
C00140	map02060
C00547	map00350
C00547	map01100
C00547	map02020
C00547	map02024
C00547	map04024
C00547	map04080
C00547	map04261
C00547	map04270
C00547	map04540
C00547	map04714
C00547	map04721
C00547	map04742
C00547	map04923
C00547	map04924
C00547	map04970
C00006	map00195
C00006	map00480
C00006	map00760
C00006	map00983
C00006	map01100
C00006	map04918
C00006	map04925
C01103	map00240
C01103	map01100
C00249	map00061
C00249	map00062
C00249	map00071
C00249	map00073
C00249	map01040
C00249	map01060
C00249	map01100
C00249	map01212
C00005	map00195
C00005	map00480
C00005	map01100
C00005	map04918
C00005	map04925
C02990	map00071
C02990	map01212
C00036	map00010
C00036	map00020
C00036	map00250
C00036	map00362
C00036	map00620
C00036	map00630
C00036	map00680
C00036	map00710
C00036	map00720
C00036	map00997
C00036	map01060
C00036	map01061
C00036	map01062
C00036	map01063
C00036	map01064
C00036	map01065
C00036	map01066
C00036	map01070
C00036	map01100
C00036	map01110
C00036	map01120
C00036	map01200
C00036	map01210
C00036	map01230
C00036	map02020
C00036	map04922
C00036	map04964
C00036	map05230
C00346	map00564
C00346	map00600
C00346	map01100
C00346	map01503
C00346	map04071
C00322	map00300
C00322	map00310
C00322	map00380
C00322	map00680
C00322	map01100
C00322	map01110
C00322	map01120
C00322	map01210
C00322	map01230
C00295	map00240
C00295	map01100
C00418	map00900
C00418	map01060
C00418	map01062
C00418	map01070
C00418	map01100
C00418	map01110
C00418	map04216
C15584	
C00455	map00760
C00455	map01100
C19910	
C03722	map00380
C03722	map00410
C03722	map00760
C03722	map01060
C03722	map01064
C03722	map01100
C00378	map00730
C00378	map01100
C00378	map02010
C00378	map04122
C00378	map04977
C00163	map00640
C00163	map00642
C00163	map00760
C00163	map01100
C00163	map01120
C00163	map01220
C00163	map04973
C00163	map04974
C00835	map00790
C00835	map01100
C00314	map00750
C00314	map01100
C00314	map01120
C00094	map00270
C00094	map00430
C00094	map00920
C00094	map01100
C00094	map01120
C02191	map00860
C02191	map01100
C02191	map01110
C00022	map00010
C00022	map00020
C00022	map00030
C00022	map00040
C00022	map00053
C00022	map00250
C00022	map00260
C00022	map00261
C00022	map00270
C00022	map00290
C00022	map00330
C00022	map00350
C00022	map00360
C00022	map00362
C00022	map00430
C00022	map00440
C00022	map00473
C00022	map00620
C00022	map00621
C00022	map00622
C00022	map00630
C00022	map00650
C00022	map00660
C00022	map00680
C00022	map00710
C00022	map00720
C00022	map00730
C00022	map00760
C00022	map00770
C00022	map00900
C00022	map00997
C00022	map00999
C00022	map01060
C00022	map01061
C00022	map01062
C00022	map01063
C00022	map01064
C00022	map01065
C00022	map01066
C00022	map01070
C00022	map01100
C00022	map01110
C00022	map01120
C00022	map01200
C00022	map01210
C00022	map01220
C00022	map01230
C00022	map01502
C00022	map02060
C00022	map04066
C00022	map04152
C00022	map04911
C00022	map04922
C00022	map04930
C00022	map04931
C00022	map05230
C00255	map00740
C00255	map01100
C00255	map01110
C00255	map02010
C00255	map04977
C00931	map00860
C00931	map01100
C00931	map01110
C00931	map01120
C00794	map00051
C00794	map00052
C00794	map01100
C00794	map02010
C00794	map02060
C01829	map00350
C01829	map01100
C01829	map04080
C01829	map04918
C01829	map04919
C01829	map04976
C01829	map05320
C00013	map00190
C00013	map05012
C00245	map00120
C00245	map00430
C00245	map00920
C00245	map01100
C00245	map02010
C00245	map04080
C00319	map00600
C00319	map01100
C00319	map04071
C00319	map04210
C00319	map04217
C01953	map00140
C01953	map01100
C01953	map04913
C01953	map04925
C01953	map04927
C01953	map04934
C00042	map00020
C00042	map00190
C00042	map00250
C00042	map00310
C00042	map00350
C00042	map00360
C00042	map00361
C00042	map00620
C00042	map00630
C00042	map00640
C00042	map00650
C00042	map00720
C00042	map00760
C00042	map00920
C00042	map01060
C00042	map01061
C00042	map01062
C00042	map01063
C00042	map01064
C00042	map01065
C00042	map01066
C00042	map01070
C00042	map01100
C00042	map01110
C00042	map01120
C00042	map01200
C00042	map01220
C00042	map02020
C00042	map04024
C00042	map04727
C00042	map04922
C00042	map05230
C00751	map00100
C00751	map00909
C00751	map01060
C00751	map01062
C00751	map01066
C00751	map01070
C00751	map01100
C00751	map01110
C05529	
C00089	map00052
C00089	map00500
C00089	map01100
C00089	map01110
C00089	map02010
C00089	map02060
C00089	map04742
C00089	map04973
C00780	map00380
C00780	map01063
C00780	map01100
C00780	map04024
C00780	map04080
C00780	map04361
C00780	map04540
C00780	map04721
C00780	map04726
C00780	map04742
C00780	map04750
C00780	map04976
C00780	map07211
C00178	map00240
C00178	map01100
C00074	map00010
C00074	map00020
C00074	map00400
C00074	map00440
C00074	map00620
C00074	map00680
C00074	map00710
C00074	map00720
C00074	map00998
C00074	map01060
C00074	map01061
C00074	map01062
C00074	map01063
C00074	map01070
C00074	map01100
C00074	map01110
C00074	map01120
C00074	map01200
C00074	map01230
C00074	map02060
C00074	map04922
C00074	map04964
C00074	map05230
C02465	map00350
C02465	map01100
C02465	map04080
C02465	map04714
C02465	map04918
C02465	map04919
C02465	map04976
C02465	map05320
C01879	map00480
C01879	map01100
C05476	map00140
C00836	map00600
C00836	map01100
C00836	map04071
C00213	map00260
C00213	map00330
C00213	map01100
C01005	map00260
C01005	map00270
C01005	map00680
C01005	map00970
C01005	map00997
C01005	map01100
C01005	map01110
C01005	map01120
C01005	map01200
